hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
MERCY SUBURBAN HOSPITAL,114,9594743,479252,0.9733,,0.9919,,0.9616,,1.0382,813579,1.0608
MOSES TAYLOR HOSPITAL,216,13109926,722926,0.9465,,0.9512,1018922,1.0360,,1.1196,979819,0.9883
ALBERT EINSTEIN MEDICAL CENTER,0,52948336,1543827,1.0079,,0.9880,929463,1.0271,,1.2499,3580482,1.0238
CHAMBERSBURG HOSPITAL,248,28117442,834448,1.0036,1308842,0.9321,992633,0.9466,3065393,1.0658,1546119,0.9665
MERCY FITZGERALD HOSPITAL,365,31293533,2026147,1.1797,603456,1.0639,788207,1.0082,,1.2603,2056181,1.1764
EASTON HOSPITAL,221,24358078,1093814,1.0355,402099,1.1108,770335,1.0678,,1.1177,1962194,1.0743
ACMH HOSPITAL,0,3359662,217427,0.9668,,0.9553,351770,0.9390,,1.0465,358819,0.9688
INDIANA REGIONAL MEDICAL CENTER,164,7790245,421205,1.0036,,1.1208,303411,0.9448,,1.0645,794251,0.9729
CROZER CHESTER MEDICAL CENTER,573,34579764,2154497,1.0076,845410,1.0564,1615592,1.0852,,1.1165,2682032,1.1557
NAZARETH HOSPITAL,231,17339482,689981,1.0887,,1.0975,801485,1.0700,,0.7833,1689258,1.1495
RIDDLE MEMORIAL HOSPITAL,227,20286403,789108,0.9766,480563,1.0837,1196181,1.0295,,0.9034,1369047,1.0424
PENN PRESBYTERIAN MEDICAL CENTER,299,28921829,371632,1.0399,977252,0.9618,,1.0674,3687170,1.2963,1610048,0.9019
EPHRATA COMMUNITY HOSPITAL,130,7321601,312469,0.9637,327424,0.9503,643791,0.8775,,1.1362,468484,0.7865
LEHIGH VALLEY HOSPITAL - MUHLENBERG,195,26872632,1230616,0.9789,,1.1663,1121560,1.0390,1398029,1.0272,2414323,0.9871
FORBES REGIONAL HOSPITAL,,16051338,758324,0.9981,,0.9228,637786,1.0567,,1.0233,1263369,1.0626
HAHNEMANN UNIVERSITY HOSPITAL,450,30637070,1054488,0.9989,,0.9605,1068350,1.1741,,0.9939,1504721,1.0432
OCONEE MEDICAL CENTER,249,18149850,584001,0.9831,497861,0.9975,1139122,1.0757,2504845,1.0611,1070614,0.9489
TUOMEY HEALTHCARE SYSTEM,0,22612018,1381789,1.0895,,1.0768,1155949,1.0194,,0.9565,1807548,1.0226
MARY BLACK MEMORIAL HOSPITAL,181,10166460,799835,1.0118,,0.9646,1073875,1.0511,,1.0332,458990,1.0115
PALMETTO HEALTH BAPTIST,367,18094077,384564,1.0384,,0.9181,809974,0.9138,,0.8801,683003,0.8811
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,545,36950971,1014660,0.9031,,0.9496,1064474,0.8381,6251079,0.8951,1505044,0.8667
TRISTAR SKYLINE MEDICAL CENTER,317,17061960,693667,0.9817,,1.0196,783463,1.0946,1076597,1.1108,678720,1.0211
MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,136,9683153,955937,1.0214,,1.0059,891440,1.1555,1130573,1.3104,492371,1.1396
JAMESTOWN REGIONAL MEDICAL CENTER,85,3644164,1133854,1.0352,,0.0000,571392,1.0376,,0.0000,303664,1.1122
HARTON REGIONAL MEDICAL CENTER,133,11130017,905774,1.0481,,0.9409,566284,1.0270,,1.1875,564408,1.1431
SAINT FRANCIS BARTLETT MEDICAL CENTER,156,9491401,451712,0.9091,,0.9896,735324,0.8681,,0.9311,,1.0385
PROVIDENCE MEMORIAL HOSPITAL,508,19082982,595059,0.9622,,0.9653,886989,0.9152,,1.0992,1136114,0.9671
PARKLAND HEALTH AND HOSPITAL SYSTEM,0,20935439,531299,0.9945,,1.0165,737159,0.9952,,1.0522,1915374,0.8907
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,0,34625159,1201238,1.0151,798778,1.0334,966675,1.1267,,1.4528,1393569,1.0697
BAYLOR UNIVERSITY MEDICAL CENTER,869,80052390,1898532,0.9549,,0.9478,2742979,0.9140,8242994,0.8209,3883881,0.8484
VHS HARLINGEN HOSPITAL COMPANY LLC,400,35863923,1226679,0.9846,,1.0213,2008142,0.9806,3799024,0.8179,1909953,0.9697
UT SOUTHWESTERN UNIVERSITY HOSPITAL,0,32182737,635508,1.0907,,0.9577,1185893,0.9711,,1.1377,2239469,1.0063
BAYSHORE MEDICAL CENTER,413,26135240,1041403,0.8999,674708,1.1523,972588,0.9086,,1.0225,1636005,0.9739
LAS PALMAS MEDICAL CENTER,572,43143353,1186007,0.9310,,0.9830,1857646,1.0160,2330216,0.9072,2034913,0.9951
UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,244,10158146,241029,0.9718,,0.9913,,1.0215,,1.1337,451840,1.0433
KNAPP MEDICAL CENTER,209,14275552,604506,0.9111,,0.9877,632282,0.9219,,0.8578,1358725,1.1441
EAST TEXAS MEDICAL CENTER ATHENS,127,10905608,1054147,1.1574,380785,0.9858,1171660,1.0776,,0.9156,929154,1.0748
MEDICAL CENTER OF MCKINNEY,217,15710931,768589,1.0775,,0.9129,997101,1.0452,,1.0767,1125249,0.9675
VALLEY REGIONAL MEDICAL CENTER,214,18064288,894506,0.9508,841907,0.9663,833246,0.9777,,0.9513,1691245,1.1148
SIERRA MEDICAL CENTER,345,17629703,594285,0.9227,,0.8599,986549,1.0239,,0.9733,893099,0.9399
MEDICAL CENTER OF ARLINGTON,213,19828292,816579,0.9836,,1.0958,776421,1.0621,801909,1.0278,1004004,0.9921
METHODIST CHARLTON MEDICAL CENTER,278,28440296,929425,0.9505,673752,0.9386,1183162,0.9461,2066682,1.0058,1471407,0.8848
UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,0,2169165,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,366,17294576,570220,0.9350,,1.0279,459914,0.9127,,0.9305,690811,0.9753
CHRISTUS SPOHN HOSPITAL ALICE,107,3999472,371662,0.9800,,0.9475,471420,0.9627,,0.0000,416028,0.9070
BAYLOR REGIONAL MEDICAL CENTER AT PLANO,160,12540267,327110,1.0230,,1.0012,481961,1.0574,1080414,1.2806,,0.9552
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,0,55929501,686210,1.0021,,0.9934,949747,1.0014,4068841,1.3265,2897301,1.1329
SENTARA LEIGH HOSPITAL,238,32705385,860762,1.0049,346058,1.0094,1024034,0.9995,8075030,0.8416,1872836,0.9111
BON SECOURS ST MARYS HOSPITAL,225,38183936,523858,0.9942,,1.0377,1024465,1.1158,5144196,0.8424,1551688,0.9785
SOUTHSIDE REGIONAL MEDICAL CENTER,0,26290238,1532014,1.0847,1159051,1.1311,950367,1.0274,1322372,1.3909,1902598,1.0845
DANVILLE REGIONAL MEDICAL CENTER,250,21921349,1002623,1.0613,,1.0365,1032829,1.1058,,1.0451,1198205,1.2332
MARTHA JEFFERSON HOSPITAL,176,22819043,791988,1.0261,454024,0.9531,1136363,1.0451,,1.3171,1106365,0.9647
LEWISGALE HOSPITAL MONTGOMERY,88,8359210,,1.1042,,0.9600,,1.1281,,1.2302,422069,1.0358
CHESAPEAKE GENERAL HOSPITAL,310,28237862,1219943,1.0995,715860,0.9590,1132112,1.0623,1823669,1.2485,1617126,1.1004
INOVA MOUNT VERNON HOSPITAL,237,14610747,459609,1.0427,275626,1.0742,456869,1.0952,7880872,0.7676,912474,1.0088
LEWISGALE HOSPITAL ALLEGHANY,110,5865755,417857,1.0482,,0.9867,499081,1.1909,,1.2439,647646,0.8641
UNIVERSITY OF WASHINGTON MEDICAL CTR,378,28033809,,0.9616,,1.0459,,1.0041,,1.0600,,1.0523
MULTICARE AUBURN MEDICAL CENTER,170,9245259,470185,1.0001,,1.0033,776650,0.9350,,0.9799,812002,1.0696
HARBORVIEW MEDICAL CENTER,413,28020693,,0.9614,,0.9557,,1.0394,,0.0000,,0.9370
CITY HOSPITAL,,14003859,931330,0.9663,490577,0.9179,1062911,1.0136,,1.1676,733275,1.0079
CABELL-HUNTINGTON HOSPITAL INC,,23798815,1072464,1.0277,,1.0002,1026764,1.0434,,0.8072,750048,1.0670
WAUKESHA MEMORIAL HOSPITAL,290,30180367,651829,0.9425,,0.9646,1119853,1.0622,3375863,1.1552,1671731,0.9876
COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,,18695729,524797,0.9316,,1.0362,734564,0.9037,,1.1505,1151383,0.9333
WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS,,31479879,466360,1.0774,,1.0563,1197360,1.0519,2580842,0.9774,1735208,0.9775
AURORA WEST ALLIS MEDICAL CENTER,204,18045333,684927,1.0402,,0.9541,1110148,0.9325,2158518,1.1142,773447,1.0138
FROEDTERT MEM LUTHERAN HSPTL,,50089930,1068050,0.8843,,1.0158,1149204,0.9462,3194821,1.9095,2352581,0.9493
UNIVERSITY GENERAL HOSPITAL,0,4323384,,1.0022,,0.0000,,0.9855,,0.0000,,0.9536
METHODIST MANSFIELD MEDICAL CENTER,168,8243505,543751,0.9717,,0.9987,575739,1.0407,,0.0000,864122,0.8919
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",236,8602409,266912,0.9090,,1.0547,571631,1.0306,,1.1217,,0.9454
PROVIDENCE ALASKA MEDICAL CENTER,383,32955944,796718,0.9670,380063,0.8940,1149755,0.8809,,0.9576,1665392,0.8914
CARONDELET ST  MARYS HOSPITAL,0,14227776,,0.9335,,0.9822,572683,0.9884,1371214,0.9217,392723,0.8210
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250,20099855,592841,1.0160,,0.9982,369746,1.0521,1511212,1.1223,,0.9283
FLAGSTAFF MEDICAL CENTER,267,39600547,,0.9707,,0.9291,,0.9123,6375141,0.9370,,0.9421
CHANDLER REGIONAL MEDICAL CENTER,243,20797461,577137,0.9220,,1.0597,,0.9596,1522362,0.9440,1268581,0.9313
SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,,21731098,423382,0.9274,,0.8963,828684,0.9675,4030564,0.9964,1045249,0.9473
ARROWHEAD HOSPITAL,217,11997978,351904,0.9857,,0.9286,598066,1.0505,,0.9751,,0.9637
WEST VALLEY HOSPITAL,164,10542260,464989,1.0639,,1.0724,621160,0.9968,,0.0000,,0.9691
MERCY GILBERT MEDICAL CENTER,212,15808041,478807,0.9656,,0.9489,813924,0.9294,2221017,1.0742,,0.9407
"MOUNTAIN VISTA MEDICAL CENTER, LP",187,12981322,568279,1.0348,,0.9415,703807,1.0429,,1.2385,,1.0358
ARKANSAS METHODIST MEDICAL CENTER,129,6773819,842567,1.0152,292909,1.1434,872694,1.0905,,1.0766,469666,1.1433
ST ROSE HOSPITAL,217,18720110,944109,1.1021,,1.0426,700905,1.0734,,1.2748,1499016,1.0306
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,163,2888800,,1.0200,,0.0000,,0.9738,,0.0000,,0.9626
QUEEN OF THE VALLEY MEDICAL CENTER,191,21622100,728627,1.0083,,0.9829,960677,0.9059,2466973,1.0029,1591846,0.9487
SUTTER AMADOR HOSPITAL,52,4953935,,0.9749,,0.0000,587384,0.8732,,1.0529,,0.9762
PARADISE VALLEY HOSPITAL,136,33804383,300777,0.8865,,1.0658,,0.9965,,0.0000,309858,0.9812
SANTA CLARA VALLEY MEDICAL CENTER,571,27500756,,1.0043,,0.9964,,1.0087,,0.0000,1623166,1.0439
EL CENTRO REGIONAL MEDICAL CENTER,165,18095350,664473,0.9997,687253,1.0076,1262141,1.1118,,1.0742,1451415,1.0467
GLENDALE MEM HOSPITAL & HLTH CENTER,255,33766828,996689,0.9234,,1.0505,1485059,1.0989,2318495,1.2316,2397023,1.1254
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,434,29964701,1372912,1.1223,,1.1030,863593,1.0008,,1.0737,1777696,1.0747
KAISER FOUNDATION HOSPITAL-SANTA CLARA,327,2834938,,0.0000,,0.9680,,0.0000,,0.0000,,1.0908
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,0,2281606,,0.0000,,0.0000,,0.0000,,0.0000,,1.0001
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,308,7734007,,0.9550,,1.0519,,1.0414,,1.0576,,0.9667
SHARP MEMORIAL HOSPITAL,881,34168379,911049,0.9706,,1.0157,1586266,0.9161,,0.9667,1909133,0.9419
WHITE MEMORIAL MEDICAL CENTER,353,35763370,659826,0.9688,,1.0604,1112656,0.9876,,1.1425,1740182,0.9758
NORTHRIDGE HOSPITAL MEDICAL CENTER,411,30502479,570433,0.9682,,0.9507,1424742,0.9945,3162172,1.0398,2332442,1.0467
VALLEY PRESBYTERIAN HOSPITAL,350,26856004,611616,1.0145,664360,0.9998,611854,1.0416,,1.1146,2101693,1.0737
ST BERNARDINE MEDICAL CENTER,342,24948531,616759,1.0013,643596,1.0416,,0.9503,,0.9150,1217220,1.0095
SAN GABRIEL VALLEY MEDICAL CENTER,269,21504197,864185,1.0087,,1.0129,1370053,1.1282,,0.8802,2099689,1.0574
SIERRA NEVADA MEMORIAL HOSPITAL,121,14356918,731874,0.9881,567262,0.9510,1271061,1.0809,,0.9104,833521,1.0318
SAINT FRANCIS MEMORIAL HOSPITAL,205,15749058,833009,1.0296,,0.0000,967631,1.1166,,0.8300,,1.0073
O'CONNOR HOSPITAL,348,33955191,925032,1.0713,,1.0276,1133933,1.0018,,0.9081,1947450,0.9907
ENCINO HOSPITAL MEDICAL CENTER,145,4600861,,1.0192,,0.9769,,0.9746,,0.0000,,1.0967
VENTURA COUNTY MEDICAL CENTER,272,5424345,,1.0132,,0.0000,640931,0.9414,,1.0890,,1.0009
SAN JOAQUIN GENERAL HOSPITAL,181,5501176,,0.9962,,0.0000,,0.9745,,0.0000,,0.9976
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,0,21263085,,0.9439,914379,0.9817,750532,0.9582,,0.7399,1042499,0.9551
WATSONVILLE COMMUNITY HOSPITAL,106,9271385,629430,1.0104,,0.9917,775915,1.0420,,0.9892,891826,1.0466
PALMDALE REGIONAL MEDICAL CENTER,157,16321881,1108484,0.9715,,1.0535,802126,0.9153,,1.1916,1495205,1.0695
AHMC ANAHEIM REGIONAL MEDICAL CENTER,223,17613176,790116,1.0849,,1.1454,853879,0.9752,,1.2090,1398149,0.9992
GARDEN GROVE HOSPITAL & MEDICAL CENTER,140,14840124,,1.0455,,0.9291,,0.9753,,0.0000,,1.0185
DOMINICAN HOSPITAL,272,33304222,949981,0.9336,460568,0.8881,1305421,0.8820,,0.9571,1552994,0.8653
DESERT REGIONAL MEDICAL CENTER,347,18190838,849882,1.0466,,1.1180,618329,0.9705,,0.9518,833848,0.9331
MARSHALL MEDICAL CENTER (1-RH),,16729555,768827,1.0161,,0.9409,,1.0421,1659830,0.8733,916772,1.0070
SIERRA VIEW DISTRICT HOSPITAL,,13969858,1046617,1.0866,685112,1.1082,1426834,0.8886,,0.9240,967065,1.0439
VALLEYCARE MEDICAL CENTER,0,18328175,,1.0696,,0.9785,1355862,0.9386,2692753,1.0092,1253083,0.9603
SETON MEDICAL CENTER,371,26505351,729494,0.9958,,1.0686,739211,1.0183,,1.1366,2274670,1.0034
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,439,11914779,,0.9672,,0.0000,,1.0240,,0.0000,714180,1.0654
UKIAH VALLEY MEDICAL CENTER/HOSPITAL D,45,6216693,,0.9642,,0.0000,629094,0.9185,,1.0842,820960,0.9605
CORONA REGIONAL MEDICAL CENTER,239,11402546,464557,1.0056,,1.0209,878398,1.1022,,0.8880,1122365,0.9899
LODI MEMORIAL HOSPITAL,190,20864290,717680,1.0353,,0.9701,1125104,0.9833,,0.7998,1326850,0.9895
LAC/HARBOR-UCLA MED CENTER,0,7104097,,1.0398,,1.0342,,1.0480,,0.0000,,0.9369
DOWNEY REGIONAL MEDICAL CENTER,,20463606,742963,0.9240,,0.8892,877788,0.9488,,0.8160,2032611,1.0631
SUTTER COAST HOSPITAL,49,5827113,,0.9562,,0.9545,638671,0.9564,,0.0000,,1.0104
SCRIPPS GREEN HOSPITAL,173,20823686,,0.9298,,0.9422,,0.9306,,0.7358,624064,0.8728
KAISER FOUNDATION HOSPITAL - SACRAMENTO,270,3059595,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
WEST ANAHEIM MEDICAL CENTER,219,18396043,,0.9241,,0.9413,,1.0163,,0.0000,1068569,1.0743
MEMORIAL HOSPITAL OF GARDENA,172,15545910,653494,0.9455,,1.0240,,0.9824,,0.0000,,1.0818
SUTTER AUBURN FAITH HOSPITAL,72,9474290,450488,0.9216,,0.9451,,0.9535,,0.9010,,1.0052
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,155,14160561,,0.9298,,0.8506,604327,0.9528,,0.8852,,0.8430
SIERRA VISTA REGIONAL MEDICAL CENTER,164,8248463,244338,0.9874,,1.0317,429011,0.9902,,0.9121,,0.9209
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,213,702373,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
LAKEWOOD REGIONAL MEDICAL CENTER,172,12890253,614165,0.9573,,1.0566,567889,0.9210,,1.1357,976445,0.9955
METHODIST HOSPITAL OF SACRAMENTO,333,20764255,710293,1.0808,,1.0052,642786,1.0001,,0.8460,1113980,1.1129
ST JOHNS PLEASANT VALLEY HOSPITAL,180,7284147,403563,1.0081,287029,1.0303,423062,0.9232,,0.9730,600716,1.0509
HENRY MAYO NEWHALL MEMORIAL HOSPITAL,,16560075,,0.9451,639656,0.9169,975030,0.9960,,1.1526,1418297,0.9893
POMERADO HOSPITAL,236,10028962,,0.9980,305181,0.9630,485835,0.9266,1764197,0.9302,,0.9271
LOS ANGELES COMMUNITY HOSPITAL,180,21508325,1792405,0.8794,,1.0421,,1.0289,,0.0000,,1.0824
KAISER FOUNDATION HOSP SO SACRAMENTO,0,2286828,,0.0000,,0.0000,,0.0000,,0.0000,,0.9927
ORANGE COAST MEMORIAL MEDICAL CENTER,218,9749363,394835,1.0674,,1.0178,570475,1.0676,,1.1230,,1.0064
SAINT LOUISE REGIONAL HOSPITAL,72,6788168,,1.0293,,1.0317,,0.9946,,1.0753,844139,0.9526
SAN RAMON REGIONAL MEDICAL CTR,123,6300545,,0.9959,,1.0550,628290,1.0510,,1.1921,460880,0.8907
KECK HOSPITAL OF USC,359,16839197,,0.0000,,0.9946,,0.9859,,0.7829,,1.1476
DESERT VALLEY HOSPITAL,148,11684532,452508,1.0699,,0.9944,,1.0836,,0.9503,964531,0.9926
BAKERSFIELD HEART HOSPITAL,47,12857048,824952,0.9582,,0.9703,540699,1.0172,,1.1994,1313998,1.0114
COMMUNITY HOSPITAL OF LONG BEACH,158,4810726,328453,0.9735,,1.0203,,0.9831,,0.0000,,1.0014
CENTINELA HOSPITAL MEDICAL CENTER,345,57470458,1758601,1.0077,,1.1712,1328189,1.0344,,0.9762,5336723,1.1366
OLYMPIA MEDICAL CENTER,204,25583946,699596,1.0584,,1.1350,624485,1.0322,,0.9410,1401119,1.0773
WESTERN MEDICAL CENTER SANTA ANA,228,4090032,,0.9126,,1.0304,,0.9862,,0.0000,,0.9751
SHERMAN OAKS HOSPITAL,153,13424580,318299,0.9963,,1.0893,,1.0169,,0.9145,,1.0719
KAISER FOUNDATION HOSPITAL - ANTIOCH,0,1208232,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
LONGMONT UNITED HOSPITAL,140,9952840,461130,0.9147,,0.9697,409161,0.9780,,0.9616,,0.9589
CENTURA HEALTH-ST ANTHONY HOSPITAL,202,15575895,,0.8634,,0.9578,,0.8825,1011767,1.0462,,1.0141
ROSE MEDICAL CENTER,244,16948015,389880,0.9350,,1.0224,389707,1.0445,3609099,0.9256,651157,0.9557
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,234,15986834,,1.0279,,0.9710,481816,0.8806,,0.9884,,0.9731
SKY RIDGE MEDICAL CENTER,180,16635591,268392,0.9284,,0.9865,,0.9342,3934227,0.7940,,0.8573
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,188,9125558,393625,0.9716,,1.0033,510002,0.9143,,0.9201,464740,0.9722
PARKER ADVENTIST HOSPITAL,173,7981170,,0.9433,,0.9782,,0.9183,,1.2763,,0.9098
WINDHAM COMM MEM HOSP & HATCH HOSP,79,11198175,728683,1.1392,,1.0779,773274,0.9347,,1.0675,1096588,0.8989
WILLIAM W BACKUS HOSPITAL,183,26277941,1710845,0.9903,467014,1.0011,1954727,0.9348,,1.1977,1477741,0.9717
MANCHESTER MEMORIAL HOSPITAL,163,13880040,,1.0062,,0.9942,1351492,0.9848,1629237,0.9906,982404,0.9763
BRISTOL HOSPITAL,124,13269579,781111,1.0953,,1.0151,836456,1.1280,,0.9374,1017879,1.0973
JOHN DEMPSEY HOSPITAL,0,26360079,636107,1.0032,,0.9099,903449,1.1016,2922674,1.0320,1763966,0.8724
NANTICOKE MEMORIAL HOSPITAL,94,16447416,800917,0.9859,,0.9065,690422,0.9645,,1.0514,2057163,0.9220
BAYHEALTH - MILFORD MEMORIAL HOSPITAL,168,9226308,501522,0.9964,456040,0.9783,893499,0.9836,,1.0401,1179503,0.8892
HOWARD UNIVERSITY HOSPITAL,241,22049733,974724,1.1093,,1.1089,565930,1.0820,,0.0000,2220101,1.1985
BERT FISH MEDICAL CENTER,112,4938000,525009,0.9649,,0.9870,,1.0012,,1.0497,,0.9767
BROWARD HEALTH MEDICAL CENTER,656,23598934,736650,1.0113,,0.9472,493190,0.9302,2935859,1.0254,,0.9311
FLORIDA HOSPITAL DELAND,156,13898422,656377,1.0639,391103,1.0441,783406,1.1016,,0.9384,1211482,0.9783
CHARLOTTE REGIONAL MEDICAL CENTER,,12151665,741961,0.8844,,1.0155,740629,1.1824,,0.9885,983639,0.9178
HIALEAH HOSPITAL,342,15324134,1264075,1.0584,780621,1.1175,922146,1.0620,,0.0000,997127,1.1708
FLORIDA HOSPITAL FISH MEMORIAL,139,14421711,581252,0.9388,421579,0.9872,840866,1.0671,,1.0424,1469364,1.0621
BROWARD HEALTH NORTH,334,15145582,628394,0.9519,,1.0158,342837,0.9739,,0.8351,822910,1.1232
LOWER KEYS MEDICAL CENTER,152,6227635,592918,1.0578,,0.0000,483001,1.0291,,1.1449,,1.0429
CAPE CANAVERAL HOSPITAL,150,7943364,366664,0.9083,,0.8871,566028,1.0468,,1.1495,,0.9507
ST PETERSBURG GENERAL HOSPITAL,215,9953061,667998,1.0473,,0.0000,523998,0.9769,,0.9841,,1.0553
SEVEN RIVERS REGIONAL MEDICAL CENTER,128,15194798,1069155,0.8910,466536,0.8662,346457,0.9068,2796387,0.9750,606691,0.8876
WEST BOCA MEDICAL CENTER,195,6961610,280326,0.9673,,0.9952,409363,1.0217,,0.9169,916032,1.0294
PALMS WEST HOSPITAL,204,9551188,392826,0.9971,433817,0.9777,486536,0.9734,,1.0865,945403,1.0291
WELLINGTON REGIONAL MEDICAL CENTER,233,8756561,473671,1.1076,,1.0149,576022,0.9435,,1.2406,498774,0.9881
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,201,23374400,1006269,0.9661,374776,1.0031,719947,0.9229,4456301,1.0730,802337,0.9771
LAKEWOOD RANCH MEDICAL CENTER,120,4756606,329089,1.0256,,0.9772,240223,0.9942,,0.8567,379161,0.9323
HAMILTON MEDICAL CENTER,0,17875089,863852,1.0320,465610,0.9129,1517368,0.9978,1549853,0.9655,1516220,1.0066
WEST GEORGIA MEDICAL CENTER,426,11445537,777734,1.0122,,1.0384,472323,0.9545,,1.0340,1119936,1.0319
GORDON HOSPITAL,69,8810605,343746,0.9802,,1.0624,,0.9889,912024,1.2106,446337,1.0730
"MEDICAL CENTER, THE",,15284138,534780,0.9973,,1.0849,,1.0147,,0.0000,803428,0.8556
ROCKDALE MEDICAL CENTER,121,12097473,796245,1.0787,,1.0021,706517,1.0420,,1.3115,1292116,0.9096
CRISP REGIONAL HOSPITAL,216,4225098,568326,1.0765,,0.9861,404753,1.1380,,0.0000,,1.0068
COLQUITT REGIONAL MEDICAL CENTER,100,6123692,388082,1.0409,,0.0000,534882,0.9436,,1.2446,464886,0.9428
ATLANTA MEDICAL CENTER,554,10789929,,0.9967,,1.0238,,1.0277,,1.0929,836310,0.9841
WELLSTAR DOUGLAS HOSPITAL,102,10693250,581977,0.9281,,1.0020,626532,1.0840,,1.0821,818767,0.9711
PIEDMONT HENRY HOSPITAL,277,22837841,872002,0.9994,299506,1.0028,,0.9361,2958757,1.0476,1502468,1.1435
ATLANTA MEDICAL CENTER-SOUTH CAMPUS,,7305413,340467,0.9966,,1.0318,,1.0511,,0.9366,895409,1.0654
"PIEDMONT NEWNAN HOSPITAL, INC",136,10630279,502835,0.9666,,1.0724,736375,0.9889,,1.0396,731085,1.0994
THE QUEENS MEDICAL CENTER,495,40827578,545357,1.0974,1087141,0.8783,1312126,0.8608,3246207,0.8358,2049001,0.9176
MAUI MEMORIAL MEDICAL CENTER,213,12987327,668067,1.0277,623409,0.9481,1132706,0.9983,,0.0000,866964,0.9461
WAHIAWA GENERAL HOSPITAL,160,5232056,,0.9613,,1.0608,442863,0.9256,,0.0000,540383,1.0464
HILO MEDICAL CENTER,276,11146104,640827,0.9916,1233734,0.9594,601033,0.9988,,0.9678,908292,1.0228
CASTLE MEDICAL CENTER,160,11101955,,0.9510,,0.9841,522145,1.0630,,1.0815,,1.0439
KAISER FOUNDATION HOSPITAL,238,2787667,,0.0000,,1.0166,,1.0269,,0.0000,,0.9882
WILCOX MEMORIAL HOSPITAL,72,3636887,,0.9894,,1.0170,,0.9835,,1.0271,,0.9611
STRAUB CLINIC AND HOSPITAL,159,12992667,297648,0.9333,,0.9605,620737,0.9828,,0.8602,972235,0.9257
PALI MOMI MEDICAL CENTER,128,14606890,519879,1.0544,776901,1.0883,776125,0.9313,,0.8794,1287812,0.9939
ST JOSEPH REGIONAL MEDICAL CENTER,117,11005871,385397,0.9573,,0.9786,,0.8766,2386787,0.7758,,0.8915
KOOTENAI MEDICAL CENTER,268,22294828,413771,0.8897,364484,0.8531,716425,1.0252,3425292,0.8986,991020,0.8997
ALTON MEMORIAL HOSPITAL,176,14871525,389485,1.0154,344509,0.8816,519068,1.0268,,1.0881,1112069,1.0795
HERRIN HOSPITAL,114,13667646,1278618,1.0775,,0.9907,1372115,1.1448,1945210,0.8806,669012,0.9598
MT SINAI HOSPITAL MEDICAL CENTER,291,14635461,,0.9728,,1.0934,852665,0.9901,,0.0000,1006288,1.0684
ST ANTHONYS MEMORIAL HOSPITAL,146,14868708,990127,0.9837,,1.0739,613980,1.0284,3557019,0.9903,1003707,0.9237
WEST SUBURBAN MEDICAL CENTER,202,17018223,801656,0.9691,,1.0451,705927,1.0842,,0.9257,1354663,1.0103
PASSAVANT AREA HOSPITAL,108,8422730,522670,1.0038,,0.0000,1369824,0.9845,,0.9531,558833,1.0365
PRESENCE MERCY MEDICAL CENTER,293,13706402,526124,0.9564,,1.0591,889910,0.9950,,0.9803,700446,0.9043
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,323,21430473,1056205,1.2028,,1.0860,1080906,1.1485,,1.1461,1247267,1.0335
GENESIS MEDICAL CENTER ILLINI CAMPUS,,8340386,371920,1.0074,,1.0039,620919,1.1020,,0.7826,772766,1.0622
ADVENTIST GLENOAKS,140,8027564,,1.0231,,0.9723,,0.9951,,0.0000,,0.9964
ADVENTIST BOLINGBROOK HOSPITAL,138,8943787,354905,1.0034,,1.0665,491194,1.1161,,0.0000,978449,0.9964
