hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
SAINT JOSEPH'S HOSPITAL,Saint Paul,Minnesota,218,11583,62087,715197
SAINT LUKE'S HOSPITAL,Duluth,Minnesota,257,9677,45133,611663
SANFORD BEMIDJI MEDICAL CENTER,Bemidji,Minnesota,196,5238,16756,368904
SANFORD WORTHINGTON MEDICAL CENTER,Worthington,Minnesota,48,1267,4238,75470
UNITED HOSPITAL,Saint Paul,Minnesota,390,22755,89821,1396534
UNITY HOSPITAL,Fridley,Minnesota,213,12482,46242,574831
"UNIVERSITY OF MINNESOTA MEDICAL CENTER, FAIRVIEW - UNIVERSITY CAMPUS",Minneapolis,Minnesota,827,28930,168037,3342097
"UNIVERSITY OF MINNESOTA MEDICAL CENTER, FAIRVIEW - WEST BANK",Minneapolis,Minnesota,0,0,0,
WINONA COMMUNITY MEMORIAL HOSPITAL,Winona,Minnesota,64,2359,8258,183243
WOODWINDS HEALTH CAMPUS,Woodbury,Minnesota,86,7545,23938,368869
BARNES-JEWISH HOSPITAL,Saint Louis,Missouri,1336,53690,294379,4237086
BARNES-JEWISH SAINT PETERS HOSPITAL,Saint Peters,Missouri,120,5359,23194,300394
BARNES-JEWISH WEST COUNTY HOSPITAL,Saint Louis,Missouri,77,2634,7308,277829
BATES COUNTY MEMORIAL HOSPITAL,Butler,Missouri,49,733,2869,90179
BELTON REGIONAL MEDICAL CENTER,Belton,Missouri,71,2052,7343,266487
BLACK RIVER MEDICAL CENTER,Poplar Bluff,Missouri,3,251,728,34814
BOONE HOSPITAL CENTER,Columbia,Missouri,321,16711,66035,784542
BOTHWELL REGIONAL HEALTH CENTER,Sedalia,Missouri,142,4989,20616,232894
CALLAWAY COMMUNITY HOSPITAL,Fulton,Missouri,36,410,918,30711
CAMERON REGIONAL MEDICAL CENTER,Cameron,Missouri,51,1541,6975,119865
CAPITAL REGION MEDICAL CENTER,Jefferson City,Missouri,114,5777,21176,383677
CENTERPOINT MEDICAL CENTER,Independence,Missouri,217,14775,62072,1401570
CHRISTIAN HOSPITAL,Saint Louis,Missouri,460,13910,67478,941773
CITIZENS MEMORIAL HOSPITAL,Bolivar,Missouri,72,2630,8745,263768
COOPER COUNTY MEMORIAL HOSPITAL,Boonville,Missouri,46,166,477,25513
COX MEDICAL CENTER BRANSON,Branson,Missouri,165,5281,20886,504262
COX NORTH,Springfield,Missouri,699,29991,147483,2554274
COX SOUTH,Springfield,Missouri,0,0,0,
DES PERES HOSPITAL,Saint Louis,Missouri,140,5564,21988,516796
FITZGIBBON HOSPITAL,Marshall,Missouri,52,1812,5435,111866
FREEMAN WEST,Joplin,Missouri,413,16519,88592,1463058
GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL,Fort Leonard Wood,Missouri,0,0,0,
GOLDEN VALLEY MEMORIAL HOSPITAL,Clinton,Missouri,55,2382,7484,218100
HANNIBAL REGIONAL HOSPITAL,Hannibal,Missouri,91,4476,17704,276599
HARRY S. TRUMAN MEMORIAL VETERANS' HOSPITAL,Columbia,Missouri,0,0,0,
HEARTLAND REGIONAL MEDICAL CENTER,Saint Joseph,Missouri,352,14819,66088,1012795
JOHN J. PERSHING VA MEDICAL CENTER,Poplar Bluff,Missouri,0,0,0,
KANSAS CITY VA MEDICAL CENTER,Kansas City,Missouri,0,0,0,
LAKE REGIONAL HEALTH SYSTEM,Osage Beach,Missouri,116,5227,21560,378753
LEE'S SUMMIT MEDICAL CENTER,Lee's Summit,Missouri,64,3562,12484,325531
LIBERTY HOSPITAL,Liberty,Missouri,220,10273,42953,529648
MERCY HOSPITAL JEFFERSON,Festus,Missouri,213,9449,36487,487587
MERCY HOSPITAL JOPLIN,Joplin,Missouri,137,8512,38349,473764
MERCY HOSPITAL LEBANON,Lebanon,Missouri,49,2425,8162,234523
MERCY HOSPITAL SAINT LOUIS,Saint Louis,Missouri,929,36360,186808,2713753
MERCY HOSPITAL SPRINGFIELD ,Springfield,Missouri,812,35066,165211,2804105
MERCY HOSPITAL WASHINGTON ,Washington,Missouri,187,6494,22251,595226
MERCY MCCUNE-BROOKS HOSPITAL,Carthage,Missouri,25,2006,5719,133841
MINERAL AREA REGIONAL MEDICAL CENTER,Farmington,Missouri,108,2699,10242,164877
MISSOURI BAPTIST MEDICAL CENTER,Saint Louis,Missouri,444,21216,95702,1245130
MISSOURI DELTA MEDICAL CENTER,Sikeston,Missouri,144,3507,16247,280803
MOBERLY REGIONAL MEDICAL CENTER,Moberly,Missouri,101,1717,5513,293944
NEVADA REGIONAL MEDICAL CENTER,Nevada,Missouri,71,1049,3543,80528
NORTH KANSAS CITY HOSPITAL,North Kansas City,Missouri,415,19066,75379,1186026
NORTHEAST REGIONAL MEDICAL CENTER,Kirksville,Missouri,115,2877,11251,284743
OZARKS COMMUNITY HOSPITAL,Springfield,Missouri,45,682,3558,131218
OZARKS MEDICAL CENTER,West Plains,Missouri,103,5328,19287,315368
PARKLAND HEALTH CENTER - FARMINGTON,Farmington,Missouri,103,2913,9906,181534
PEMISCOT MEMORIAL HEALTH SYSTEM,Hayti,Missouri,237,1487,6646,74617
PHELPS COUNTY REGIONAL MEDICAL CENTER,Rolla,Missouri,242,4837,17933,605858
POPLAR BLUFF REGIONAL MEDICAL CENTER - NORTH CAMPUS,Poplar Bluff,Missouri,423,11215,43163,981541
POPLAR BLUFF REGIONAL MEDICAL CENTER - SOUTH CAMPUS,Poplar Bluff,Missouri,0,0,0,
PROGRESS WEST HEALTHCARE CENTER,O'Fallon,Missouri,72,2952,10332,129138
RESEARCH MEDICAL CENTER,Kansas City,Missouri,348,14483,71394,1705463
SAC-OSAGE HOSPITAL,Osceola,Missouri,47,252,913,13098
SAINT ALEXIUS HOSPITAL - BROADWAY CAMPUS,Saint Louis,Missouri,164,3935,29495,191625
SAINT ALEXIUS HOSPITAL - JEFFERSON CAMPUS,Saint Louis,Missouri,0,0,0,
SAINT ANTHONY'S MEDICAL CENTER,Saint Louis,Missouri,691,23025,90465,1236026
SAINT FRANCIS HOSPITAL & HEALTH SERVICES,Maryville,Missouri,58,834,2878,101635
SAINT FRANCIS MEDICAL CENTER,Cape Girardeau,Missouri,277,11189,60149,1473316
SAINT JOSEPH MEDICAL CENTER,Kansas City,Missouri,193,8794,43035,589255
SAINT LOUIS UNIVERSITY HOSPITAL,Saint Louis,Missouri,324,13703,76183,1429788
SAINT LOUIS VA MEDICAL CENTER - JOHN COCHRAN DIVISION,Saint Louis,Missouri,0,0,0,
SAINT LUKE'S CANCER INSTITUTE,Kansas City,Missouri,6,222,993,78890
SAINT LUKE'S EAST - LEE'S SUMMIT,Lee's Summit,Missouri,125,8592,34218,674552
SAINT LUKE'S HOSPITAL,Chesterfield,Missouri,463,15140,71387,1220781
SAINT LUKE'S HOSPITAL,Kansas City,Missouri,413,17955,104329,1924722
SAINT LUKE'S NORTH HOSPITAL - BARRY ROAD CAMPUS,Kansas City,Missouri,0,0,0,
SAINT LUKE'S NORTHLAND HOSPITAL - SMITHVILLE CAMPUS,Smithville,Missouri,136,6340,25721,446855
SAINT MARY'S HEALTH CENTER,Jefferson City,Missouri,167,7192,30565,381013
SAINT MARY'S MEDICAL CENTER,Blue Springs,Missouri,131,4707,19575,278751
SOUTHEAST HEALTH CENTER OF REYNOLDS COUNTY,Ellington,Missouri,25,151,412,6666
SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY,Doniphan,Missouri,21,251,783,15699
SOUTHEAST HEALTH CENTER OF STODDARD COUNTY,Dexter,Missouri,48,813,2377,50921
SOUTHEAST HOSPITAL,Cape Girardeau,Missouri,221,9582,39142,855130
SSM DEPAUL HEALTH CENTER - BRIDGETON,Bridgeton,Missouri,474,19820,94200,1324822
SSM HEALTH ST.MARY'S HOSPITAL-AUDRAIN ,Mexico,Missouri,39,1975,6900,140299
SSM SAINT CLARE HEALTH CENTER - FENTON,Fenton,Missouri,180,9742,40651,638127
SSM SAINT JOSEPH HEALTH CENTER - ST. CHARLES,Saint Charles,Missouri,406,11235,56718,736988
SSM SAINT JOSEPH HEALTH CENTER - WENTZVILLE,Wentzville,Missouri,0,0,0,
SSM SAINT JOSEPH HEALTH CENTER - WENTZVILLE,Wentzville,Missouri,86,588,1071,25961
SSM SAINT JOSEPH HOSPITAL WEST - LAKE SAINT LOUIS,Lake Saint Louis,Missouri,122,8965,31965,564543
SSM SAINT MARY'S HEALTH CENTER - RICHMOND HEIGHTS,Richmond Heights,Missouri,608,23341,129629,1794872
TEXAS COUNTY MEMORIAL HOSPITAL,Houston,Missouri,47,1503,5096,64467
TRUMAN MEDICAL CENTER HOSPITAL HILL,Kansas City,Missouri,239,11254,53332,529877
TRUMAN MEDICAL CENTER LAKEWOOD,Kansas City,Missouri,321,5228,21564,207954
TWIN RIVERS REGIONAL MEDICAL CENTER,Kennett,Missouri,116,3660,11127,320279
UNIVERSITY OF MISSOURI HOSPITAL,Columbia,Missouri,472,22324,100702,1673666
WESTERN MISSOURI MEDICAL CENTER,Warrensburg,Missouri,72,3027,9650,185867
WOMEN'S AND CHILDREN'S HOSPITAL,Columbia,Missouri,98,6077,27099,285682
COMMONWEALTH HEALTH CENTER,Saipan,Northern Mariana Islands,74,3999,15152,
81ST MEDICAL GROUP - KEESLER MEDICAL CENTER,Keesler Air Force Base,Mississippi,0,0,0,
ALLIANCE HEALTH CENTER,Meridian,Mississippi,109,611,3799,57448
ALLIANCE HOSPITAL,Holly Springs,Mississippi,40,408,1726,19923
ANDERSON REGIONAL MEDICAL CENTER,Meridian,Mississippi,260,10186,53160,526494
ANDERSON REGIONAL MEDICAL CENTER SOUTH,Meridian,Mississippi,69,872,108,83156
BAPTIST MEDICAL CENTER,Jackson,Mississippi,618,20324,104958,1280867
BAPTIST MEMORIAL HOSPITAL - BOONEVILLE,Booneville,Mississippi,66,1045,4064,83600
BAPTIST MEMORIAL HOSPITAL - DESOTO,Southaven,Mississippi,339,15895,75622,1032578
BAPTIST MEMORIAL HOSPITAL - GOLDEN TRIANGLE,Columbus,Mississippi,315,7030,28937,518935
BAPTIST MEMORIAL HOSPITAL - NORTH MISSISSIPPI,Oxford,Mississippi,217,7661,36180,525600
BAPTIST MEMORIAL HOSPITAL - UNION COUNTY,New Albany,Mississippi,98,3626,13143,166107
BEACHAM MEMORIAL HOSPITAL,Magnolia,Mississippi,37,680,4642,8088
BILOXI REGIONAL MEDICAL CENTER,Biloxi,Mississippi,36,7048,34322,778186
BOLIVAR MEDICAL CENTER,Cleveland,Mississippi,165,3252,12848,200558
CENTRAL MISSISSIPPI MEDICAL CENTER,Jackson,Mississippi,365,7926,33566,1108918
CHOCTAW HOSPITAL,Philadelphia,Mississippi,18,140,529,
CROSSGATES RIVER OAKS HOSPITAL,Brandon,Mississippi,149,2546,12402,303285
DELTA REGIONAL MEDICAL CENTER,Greenville,Mississippi,207,8103,38249,348866
DELTA REGIONAL MEDICAL CENTER - WEST CAMPUS,Greenville,Mississippi,0,0,0,
FORREST GENERAL HOSPITAL,Hattiesburg,Mississippi,433,23776,108404,1130748
G.V. SONNY MONTGOMERY VA MEDICAL CENTER,Jackson,Mississippi,0,0,0,
GARDEN PARK MEDICAL CENTER,Gulfport,Mississippi,130,3725,14808,506944
GEORGE REGIONAL HOSPITAL,Lucedale,Mississippi,43,1602,5423,58051
GILMORE MEMORIAL REGIONAL MEDICAL CENTER,Amory,Mississippi,95,2886,12572,196167
GREENWOOD LEFLORE HOSPITAL,Greenwood,Mississippi,228,5333,21140,388037
GRENADA LAKE MEDICAL CENTER,Grenada,Mississippi,156,2515,10572,114855
HANCOCK MEDICAL CENTER,Bay Saint Louis,Mississippi,47,2099,6686,112342
HIGHLAND COMMUNITY HOSPITAL,Picayune,Mississippi,56,2087,6951,106018
JASPER GENERAL HOSPITAL,Bay Springs,Mississippi,20,6,44,14034
JEFFERSON COUNTY HOSPITAL,Fayette,Mississippi,30,183,544,27819
KILMICHAEL HOSPITAL,Kilmichael,Mississippi,19,125,450,2808
KING'S DAUGHTERS MEDICAL CENTER,Brookhaven,Mississippi,119,3174,11084,178191
MADISON RIVER OAKS MEDICAL CENTER,Canton,Mississippi,67,1839,6795,180541
MAGEE GENERAL HOSPITAL,Magee,Mississippi,53,1484,6006,53572
MAGNOLIA REGIONAL HEALTH CENTER,Corinth,Mississippi,171,6967,32440,564431
MARION GENERAL HOSPITAL,Columbia,Mississippi,43,888,3515,31574
MEMORIAL HOSPITAL,Gulfport,Mississippi,445,16631,76498,2159930
METHODIST OLIVE BRANCH HOSPITAL,Olive Branch,Mississippi,45,1095,3376,95381
METHODIST REHABILITATION CENTER,Jackson,Mississippi,124,7,62,78610
MONTFORT JONES MEMORIAL HOSPITAL,Kosciusko,Mississippi,72,873,2817,29280
NATCHEZ COMMUNITY HOSPITAL,Natchez,Mississippi,101,3678,17203,298836
NATCHEZ REGIONAL MEDICAL CENTER,Natchez,Mississippi,179,2441,12278,218954
NESHOBA COUNTY GENERAL HOSPITAL,Philadelphia,Mississippi,208,1354,4297,73665
NORTH MISSISSIPPI MEDICAL CENTER - EUPORA,Eupora,Mississippi,38,1199,5980,51939
NORTH MISSISSIPPI MEDICAL CENTER - IUKA,Iuka,Mississippi,48,645,2109,43542
NORTH MISSISSIPPI MEDICAL CENTER - TUPELO,Tupelo,Mississippi,583,20860,114207,1492823
NORTH MISSISSIPPI MEDICAL CENTER - WEST POINT,West Point,Mississippi,60,1954,8516,74445
NORTH OAK REGIONAL MEDICAL CENTER,Senatobia,Mississippi,41,829,3101,42545
NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,Clarksdale,Mississippi,188,4964,18667,347895
OCEAN SPRINGS HOSPITAL,Ocean Springs,Mississippi,0,0,0,
OKTIBBEHA COUNTY HOSPITAL,Starkville,Mississippi,96,2530,11730,171948
PATIENTS CHOICE MEDICAL CENTER OF SMITH COUNTY,Raleigh,Mississippi,10,2,4,4459
RIVER OAKS HOSPITAL,Flowood,Mississippi,158,6324,21000,711088
RIVER REGION MEDICAL CENTER,Vicksburg,Mississippi,297,9040,51589,683128
RUSH FOUNDATION HOSPITAL,Meridian,Mississippi,182,7611,33117,414143
SAINT DOMINIC HOSPITAL,Jackson,Mississippi,527,22144,130674,1179035
SHARKEY-ISSAQUENA COMMUNITY HOSPITAL,Rolling Fork,Mississippi,29,404,1178,16792
SINGING RIVER HOSPITAL,Pascagoula,Mississippi,389,18282,73151,1770586
SOUTH CENTRAL REGIONAL MEDICAL CENTER,Laurel,Mississippi,268,7248,35012,311095
SOUTH SUNFLOWER COUNTY HOSPITAL,Indianola,Mississippi,49,1022,3787,30213
SOUTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,McComb,Mississippi,140,7680,26850,332337
THE KING'S DAUGHTERS HOSPITAL,Greenville,Mississippi,113,2861,10753,115156
TIPPAH COUNTY HOSPITAL,Ripley,Mississippi,95,557,1901,26925
TRACE REGIONAL HOSPITAL,Houston,Mississippi,120,408,1436,41312
TRI-LAKES MEDICAL CENTER,Batesville,Mississippi,112,3026,13307,108852
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,Jackson,Mississippi,673,27546,180370,2314505
VA GULF COAST VETERANS HEALTH CARE SYSTEM,Biloxi,Mississippi,0,0,0,
WAYNE GENERAL HOSPITAL,Waynesboro,Mississippi,70,2041,9817,53259
WESLEY MEDICAL CENTER,Hattiesburg,Mississippi,211,7439,34023,710208
WHITFIELD MEDICAL SURGICAL HOSPITAL,Whitfield,Mississippi,32,196,1640,
WINSTON MEDICAL CENTER,Louisville,Mississippi,185,358,1341,29637
WOMAN'S HOSPITAL,Jackson,Mississippi,109,2865,8206,192078
YALOBUSHA GENERAL HOSPITAL,Water Valley,Mississippi,26,311,1000,22362
BENEFIS HEALTHCARE - EAST CAMPUS,Great Falls,Montana,414,11063,50244,766633
BENEFIS HEALTHCARE - WEST CAMPUS,Great Falls,Montana,0,0,0,
BILLINGS CLINIC HOSPITAL,Billings,Montana,257,14373,65818,1033733
BLACKFEET COMMUNITY HOSPITAL,Browning,Montana,26,511,2338,
BOZEMAN DEACONESS HOSPITAL,Bozeman,Montana,81,5378,20241,292979
COMMUNITY MEDICAL CENTER,Missoula,Montana,137,4465,22988,294349
GREAT FALLS CLINIC MEDICAL CENTER,Great Falls,Montana,20,618,1787,42846
KALISPELL REGIONAL MEDICAL CENTER,Kalispell,Montana,273,7431,34644,465563
NORTHERN MONTANA HOSPITAL,Havre,Montana,184,1330,4314,87572
SAINT JAMES HEALTHCARE,Butte,Montana,83,3490,14219,255698
SAINT PATRICK HOSPITAL AND HEALTH SCIENCES CENTER,Missoula,Montana,200,7721,33335,568805
SAINT PETER'S HOSPITAL,Helena,Montana,124,5367,22178,299209
SAINT VINCENT HEALTHCARE,Billings,Montana,240,11297,49034,833001
THE HEALTHCENTER,Kalispell,Montana,30,582,1470,81089
VA MEDICAL CENTER AND AMBULATORY CARE CLINIC,Fort Harrison,Montana,0,0,0,
ALAMANCE REGIONAL MEDICAL CENTER,Burlington,North Carolina,218,11655,42510,463645
ANNIE PENN HOSPITAL,Reidsville,North Carolina,152,3661,15686,86584
ASHEVILLE VA MEDICAL CENTER,Asheville,North Carolina,0,0,0,
BETSY JOHNSON REGIONAL HOSPITAL,Dunn,North Carolina,151,6191,27125,337623
BLUE RIDGE REGIONAL HOSPITAL,Spruce Pine,North Carolina,49,2076,6196,75664
BRENNER CHILDREN'S HOSPITAL,Winston-Salem,North Carolina,0,0,0,
CALDWELL MEMORIAL HOSPITAL,Lenoir,North Carolina,110,3593,18626,271405
CAPE FEAR HOSPITAL,Wilmington,North Carolina,0,0,0,
CAPE FEAR VALLEY MEDICAL CENTER,Fayetteville,North Carolina,632,32438,185348,2426758
CAROLINAEAST MEDICAL CENTER,New Bern,North Carolina,309,12424,57642,761471
CAROLINAS HEALTHCARE SYSTEM ANSON,Wadesboro,North Carolina,147,337,1158,70252
CAROLINAS MEDICAL CENTER,Charlotte,North Carolina,998,45515,260159,4891770
CAROLINAS MEDICAL CENTER - LINCOLN,Lincolnton,North Carolina,101,3872,16092,382585
CAROLINAS MEDICAL CENTER - MERCY,Charlotte,North Carolina,386,21285,84297,1524842
CAROLINAS MEDICAL CENTER - NORTHEAST,Concord,North Carolina,457,21007,89674,1732728
CAROLINAS MEDICAL CENTER - PINEVILLE,Charlotte,North Carolina,0,0,0,
CAROLINAS MEDICAL CENTER - UNION,Monroe,North Carolina,227,7323,28712,546595
CAROLINAS MEDICAL CENTER - UNIVERSITY,Charlotte,North Carolina,94,7085,24085,661756
CAROMONT REGIONAL MEDICAL CENTER,Gastonia,North Carolina,370,20539,89475,1152370
CARTERET GENERAL HOSPITAL,Morehead City,North Carolina,116,6175,25707,309573
CATAWBA VALLEY MEDICAL CENTER,Hickory,North Carolina,258,9670,37901,625266
CENTRAL CAROLINA HOSPITAL,Sanford,North Carolina,127,5090,19476,335369
CENTRAL HARNETT HOSPITAL,Lillington,North Carolina,0,0,0,
CENTRAL PRISON HOSPITAL,Raleigh,North Carolina,0,0,0,
CHEROKEE INDIAN HOSPITAL,Cherokee,North Carolina,20,654,1083,
CLEVELAND REGIONAL MEDICAL CENTER,Shelby,North Carolina,353,9181,32706,611790
COLUMBUS REGIONAL HEALTHCARE SYSTEM,Whiteville,North Carolina,154,4890,21367,222948
DAVIS REGIONAL MEDICAL CENTER,Statesville,North Carolina,130,3689,16258,290440
DUKE RALEIGH HOSPITAL,Raleigh,North Carolina,148,7802,33670,1012551
DUKE REGIONAL HOSPITAL,Durham,North Carolina,332,13309,65226,811814
DUKE UNIVERSITY HOSPITAL,Durham,North Carolina,819,37498,247355,5206474
DURHAM VA MEDICAL CENTER,Durham,North Carolina,0,0,0,
FAYETTEVILLE VA MEDICAL CENTER,Fayetteville,North Carolina,0,0,0,
FIRSTHEALTH MOORE REGIONAL HOSPITAL,Pinehurst,North Carolina,457,19251,100127,1273218
FIRSTHEALTH RICHMOND MEMORIAL HOSPITAL,Rockingham,North Carolina,141,3427,12150,116192
FRYE REGIONAL MEDICAL CENTER,Hickory,North Carolina,355,9531,41604,1018003
GRACE HOSPITAL,Morganton,North Carolina,163,8242,34785,678551
GRANVILLE MEDICAL CENTER,Oxford,North Carolina,122,2098,7195,131898
HALIFAX REGIONAL MEDICAL CENTER,Roanoke Rapids,North Carolina,146,5001,22512,247176
HARRIS REGIONAL HOSPITAL,Sylva,North Carolina,82,3772,11922,237617
HAYWOOD REGIONAL MEDICAL CENTER,Clyde,North Carolina,138,5093,15296,321300
HIGH POINT REGIONAL HOSPITAL,High Point,North Carolina,326,15938,66001,714612
HUGH CHATHAM MEMORIAL HOSPITAL,Elkin,North Carolina,180,4410,14239,255402
IREDELL MEMORIAL HOSPITAL,Statesville,North Carolina,203,7842,38593,491600
JOHNSTON UNC HEALTH CARE,Smithfield,North Carolina,175,8106,31375,590828
KINGS MOUNTAIN HOSPITAL,Kings Mountain,North Carolina,72,1653,6140,147516
LAKE NORMAN REGIONAL MEDICAL CENTER,Mooresville,North Carolina,123,5559,19464,529653
LENOIR MEMORIAL HOSPITAL,Kinston,North Carolina,198,6085,31841,254718
LEXINGTON MEDICAL CENTER,Lexington,North Carolina,80,3366,10835,181883
MARIA PARHAM MEDICAL CENTER,Henderson,North Carolina,102,4870,22303,271461
MARTIN GENERAL HOSPITAL,Williamston,North Carolina,48,2169,7307,135306
MISSION HOSPITALS - MEMORIAL CAMPUS,Asheville,North Carolina,723,38628,192032,2277057
MISSION HOSPITALS - SAINT JOSEPH CAMPUS,Asheville,North Carolina,0,0,0,
MOORE REGIONAL HOSPITAL-HOKE CAMPUS,Raeford,North Carolina,0,0,0,
MOREHEAD MEMORIAL HOSPITAL,Eden,North Carolina,229,4638,17227,251579
MURPHY MEDICAL CENTER,Murphy,North Carolina,191,2026,7317,152455
NASH GENERAL HOSPITAL,Rocky Mount,North Carolina,353,12447,63350,648777
NAVAL HOSPITAL CAMP LEJEUNE,Camp Lejeune,North Carolina,0,0,0,
NEW HANOVER REGIONAL MEDICAL CENTER,Wilmington,North Carolina,721,155781,172768,2045745
NEW HANOVER REGIONAL MEDICAL CENTER - ORTHOPEDIC HOSPITAL ,Wilmington,North Carolina,94,3813,15775,70996
NORTH CAROLINA SPECIALTY HOSPITAL,Durham,North Carolina,18,1643,4001,103998
NORTHERN HOSPITAL OF SURRY COUNTY,Mount Airy,North Carolina,133,4025,13113,184873
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,Bolivia,North Carolina,66,4130,15495,244812
NOVANT HEALTH CHARLOTTE ORTHOPAEDIC HOSPITAL,Charlotte,North Carolina,80,3225,10218,316038
NOVANT HEALTH FORSYTH MEDICAL CENTER,Winston-Salem,North Carolina,854,45327,221708,2332480
NOVANT HEALTH FRANKLIN MEDICAL CENTER,Louisburg,North Carolina,83,1162,4209,108256
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,Huntersville,North Carolina,75,6150,23751,366840
NOVANT HEALTH MATTEWS MEDICAL CENTER,Matthews,North Carolina,119,7975,33055,457177
NOVANT HEALTH MEDICAL PARK HOSPITAL,Winston-Salem,North Carolina,22,787,2928,129238
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,Charlotte,North Carolina,564,30620,144571,1681115
NOVANT HEALTH ROWAN MEDICAL CENTER,Salisbury,North Carolina,203,8579,42323,521556
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,Thomasville,North Carolina,146,3210,10096,208861
ONSLOW MEMORIAL HOSPITAL,Jacksonville,North Carolina,162,10220,35301,393574
PARDEE HOSPITAL,Hendersonville,North Carolina,216,7792,28693,417549
PARK RIDGE HEALTH,Hendersonville,North Carolina,98,3520,14350,366697
PERSON MEMORIAL HOSPITAL,Roxboro,North Carolina,102,1780,6685,87833
RANDOLPH HOSPITAL,Asheboro,North Carolina,145,6414,23665,292588
REX HOSPITAL,Raleigh,North Carolina,553,25494,114598,2026829
RUTHERFORD HOSPITAL,Rutherfordton,North Carolina,143,5294,20685,257444
SAMPSON REGIONAL MEDICAL CENTER,Clinton,North Carolina,105,3292,12689,158254
SANDHILLS REGIONAL MEDICAL CENTER,Hamlet,North Carolina,64,2518,10432,169625
SCOTLAND MEMORIAL HOSPITAL,Laurinburg,North Carolina,154,5583,21288,373753
SENTARA ALBEMARLE MEDICAL CENTER,Elizabeth City,North Carolina,142,4815,21720,267491
SOUTHEASTERN REGIONAL MEDICAL CENTER,Lumberton,North Carolina,433,16264,71416,859894
STANLY REGIONAL MEDICAL CENTER,Albemarle,North Carolina,119,4625,14231,321461
THE MCDOWELL HOSPITAL,Marion,North Carolina,49,2002,7232,118855
THE MOSES H. CONE MEMORIAL HOSPITAL,Greensboro,North Carolina,918,46541,212269,2128158
THE WOMEN'S HOSPITAL OF GREENSBORO,Greensboro,North Carolina,0,0,0,
UNIVERSITY OF NORTH CAROLINA HOSPITALS,Chapel Hill,North Carolina,801,43196,209212,2742497
VALDESE HOSPITAL,Valdese,North Carolina,131,2076,8071,259581
VIDANT BEAUFORT HOSPITAL,Washington,North Carolina,100,3006,8854,168178
VIDANT DUPLIN HOSPITAL,Kenansville,North Carolina,74,2880,7172,115991
VIDANT EDGECOMBE HOSPITAL,Tarboro,North Carolina,117,4006,14709,211753
VIDANT MEDICAL CENTER,Greenville,North Carolina,861,43125,233928,2777660
VIDANT ROANOKE-CHOWAN HOSPITAL,Ahoskie,North Carolina,114,3472,13354,181912
W.G. HEFNER VA MEDICAL CENTER,Salisbury,North Carolina,0,0,0,
WAKE FOREST BAPTIST MEDICAL CENTER,Winston-Salem,North Carolina,853,36847,219064,2898313
WAKEMED CARY HOSPITAL,Cary,North Carolina,182,9948,45254,650575
WAKEMED RALEIGH CAMPUS,Raleigh,North Carolina,671,31840,171782,2596592
WATAUGA MEDICAL CENTER,Boone,North Carolina,94,3902,15309,300719
WAYNE MEMORIAL HOSPITAL,Goldsboro,North Carolina,262,10125,48652,467792
WESLEY LONG COMMUNITY HOSPITAL,Greensboro,North Carolina,0,0,0,
WILKES REGIONAL MEDICAL CENTER,North Wilkesboro,North Carolina,107,4429,15728,238231
WILMINGTON TREATMENT CENTER,Wilmington,North Carolina,44,1709,11663,17889
WILSON MEDICAL CENTER,Wilson,North Carolina,274,6854,33440,454856
WOMACK ARMY MEDICAL CENTER,Fort Bragg,North Carolina,0,0,0,
ALTRU HOSPITAL,Grand Forks,North Dakota,273,11543,52934,1003247
CHI SAINT ALEXIUS HEALTH,Bismarck,North Dakota,256,9688,45777,539644
ESSENTIA HEALTH FARGO,Fargo,North Dakota,105,8633,34650,615753
FARGO VA HEALTH CARE SYSTEM,Fargo,North Dakota,0,0,0,
FORT YATES HOSPITAL,Fort Yates,North Dakota,12,12,26,
SANFORD AT SOUTH UNIVERSITY,Fargo,North Dakota,145,2887,14376,125251
SANFORD BISMARCK MEDICAL CENTER,Bismarck,North Dakota,205,8784,41058,621096
SANFORD MEDICAL CENTER FARGO,Fargo,North Dakota,458,24020,109647,1817233
SANFORD SOUTH UNIVERSITY CAMPUS,Fargo,North Dakota,0,0,0,
TRINITY HOSPITAL,Minot,North Dakota,532,10010,34966,751198
TURTLE MOUNTAIN COMPREHENSIVE HEALTHCARE CENTER,Belcourt,North Dakota,27,672,2188,
BEATRICE STATE DEVELOPMENTAL CENTER,Beatrice,Nebraska,0,0,0,
BERGAN MERCY MEDICAL CENTER,Omaha,Nebraska,315,15120,83175,974745
BRYAN MEDICAL CENTER EAST,Lincoln,Nebraska,623,19941,82998,1163294
BRYAN MEDICAL CENTER WEST,Lincoln,Nebraska,0,0,0,
BRYANLGH MEDICAL CENTER WEST,Lincoln,Nebraska,230,7683,43032,321868
COLUMBUS COMMUNITY HOSPITAL,Columbus,Nebraska,47,2225,7120,108361
